Case,Activity,Timestamp,Resource,Injection
,,,,
686,Make decision,41:27.0,Manager-000004,
,,,,
686,Notify accept,46:22.5,Manager-000001,
,,,,
686,Deliver card,56:46.9,Manager-000006,
,,,,
686,EVENT 13 END,01:11.7,,
,,,,
687,Check for completeness,14:14.6,Clerk-000006,
,,,,
687,New online application received,14:14.6,,
,,,,
687,Perform checks,23:29.7,Clerk-000002,
,,,,
687,Make decision,42:02.2,Manager-000005,
,,,,
687,Notify accept,00:09.6,Manager-000006,
,,,,
687,Deliver card,00:35.6,Manager-000003,
,,,,
687,EVENT 13 END,23:22.5,,
,,,,
689,Check for completeness,34:52.8,Clerk-000005,
,,,,
689,New online application received,34:52.8,,
,,,,
689,Request info,43:27.3,Manager-000006,
,,,,
689,info received,49:12.7,,
,,,,
689,Check for completeness,49:22.7,Clerk-000006,
,,,,
689,Perform checks,25:48.0,Clerk-000004,
,,,,
689,Make decision,28:42.1,Manager-000001,
,,,,
689,notify reject,48:42.0,Manager-000006,
,,,,
689,review request received,49:58.0,,
,,,,
689,Check for completeness,50:08.0,Clerk-000003,
,,,,
689,Request info,56:45.4,Manager-000005,
,,,,
689,info received,04:15.0,,
,,,,
689,Check for completeness,04:25.0,Clerk-000001,
,,,,
689,Perform checks,22:34.8,Clerk-000002,
,,,,
689,Make decision,27:22.7,Manager-000004,
,,,,
689,Notify accept,46:21.0,Manager-000001,
,,,,
689,Deliver card,47:49.9,Manager-000005,
,,,,
689,EVENT 13 END,57:07.1,,
,,,,
699,Check for completeness,17:59.4,Clerk-000004,
,,,,
699,New online application received,17:59.4,,
,,,,
699,Request info,18:11.6,Manager-000003,
,,,,
699,info received,27:13.3,,
,,,,
699,Check for completeness,27:23.3,Clerk-000005,
,,,,
699,Perform checks,34:18.5,Clerk-000003,
,,,,
699,Make decision,36:51.5,Manager-000002,
,,,,
699,notify reject,37:58.6,Manager-000004,
,,,,
699,time out,53:42.4,,
,,,,
699,EVENT 13 END,53:52.4,,
,,,,
717,Check for completeness,38:45.6,Clerk-000006,
,,,,
717,New online application received,38:45.6,,
,,,,
717,Perform checks,49:31.5,Clerk-000003,
,,,,
717,Make decision,55:07.1,Manager-000006,
,,,,
717,Notify accept,56:57.6,Manager-000001,
,,,,
717,Deliver card,57:13.0,Manager-000005,
,,,,
717,EVENT 13 END,00:43.8,,
,,,,
718,Check for completeness,27:41.4,Clerk-000006,
,,,,
718,New online application received,27:41.4,,
,,,,
718,Request info,51:58.5,Manager-000003,
,,,,
718,info received,09:00.9,,
,,,,
718,Check for completeness,09:10.9,Clerk-000005,
,,,,
718,Request info,12:17.4,Manager-000001,
,,,,
718,info received,13:33.0,,
,,,,
718,Check for completeness,13:43.0,Clerk-000001,
,,,,
718,Request info,50:37.6,Manager-000002,
,,,,
718,info received,54:23.4,,
,,,,
718,Check for completeness,54:33.4,Clerk-000003,
,,,,
718,Perform checks,54:52.9,Clerk-000006,
,,,,
718,Make decision,58:12.2,Manager-000004,
,,,,
718,notify reject,11:52.7,Manager-000006,
,,,,
718,review request received,20:22.6,,
,,,,
718,Check for completeness,20:32.6,Clerk-000005,
,,,,
718,Perform checks,28:16.6,Clerk-000006,
,,,,
718,Make decision,49:02.7,Manager-000005,
,,,,
718,Notify accept,04:32.9,Manager-000002,
,,,,
718,Deliver card,26:17.4,Manager-000001,
,,,,
718,EVENT 13 END,33:59.7,,
,,,,
729,Check for completeness,59:32.1,Clerk-000005,
,,,,
729,New online application received,59:32.1,,
,,,,
729,Perform checks,12:31.0,Clerk-000003,
,,,,
729,Make decision,24:00.1,Manager-000002,
,,,,
729,Notify accept,31:06.8,Manager-000001,
,,,,
729,Deliver card,33:10.8,Manager-000003,
,,,,
729,EVENT 13 END,36:25.2,,
,,,,
733,Check for completeness,48:23.1,Clerk-000002,
,,,,
733,New online application received,48:23.1,,
,,,,
733,Perform checks,51:41.8,Clerk-000001,
,,,,
733,Make decision,03:27.0,Manager-000004,
,,,,
733,Notify accept,15:26.8,Manager-000001,
,,,,
733,Deliver card,29:00.4,Manager-000005,
,,,,
733,EVENT 13 END,36:11.5,,
,,,,
737,Check for completeness,37:41.5,Clerk-000005,
,,,,
737,New online application received,37:41.5,,
,,,,
737,Perform checks,43:01.8,Clerk-000006,
,,,,
737,Make decision,49:05.5,Manager-000005,
,,,,
737,Notify accept,10:22.1,Manager-000001,
,,,,
737,Deliver card,16:15.9,Manager-000002,
,,,,
737,EVENT 13 END,17:17.9,,
,,,,
738,Check for completeness,43:16.9,Clerk-000004,
,,,,
738,New online application received,43:16.9,,
,,,,
738,Perform checks,47:00.0,Clerk-000003,
,,,,
738,Make decision,52:12.3,Manager-000003,
,,,,
738,notify reject,29:19.0,Manager-000004,
,,,,
738,time out,35:15.1,,
,,,,
738,EVENT 13 END,35:25.1,,
,,,,
741,Check for completeness,44:25.4,Clerk-000006,
,,,,
741,New online application received,44:25.4,,
,,,,
741,Request info,10:39.4,Manager-000006,
,,,,
741,info received,43:15.7,,
,,,,
741,Check for completeness,43:25.7,Clerk-000002,
,,,,
741,Perform checks,46:19.0,Clerk-000006,
,,,,
741,Make decision,56:45.1,Manager-000004,
,,,,
741,Notify accept,57:00.4,Manager-000005,
,,,,
741,Deliver card,11:19.6,Manager-000002,
,,,,
741,EVENT 13 END,12:43.8,,
,,,,
742,Check for completeness,38:09.2,Clerk-000004,
,,,,
742,New online application received,38:09.2,,
,,,,
742,Request info,40:44.8,Manager-000002,
,,,,
742,info received,42:45.9,,
,,,,
742,Check for completeness,42:55.9,Clerk-000003,
,,,,
742,Request info,31:41.0,Manager-000006,
,,,,
742,info received,42:33.4,,
,,,,
742,Check for completeness,42:43.4,Clerk-000002,
,,,,
742,Request info,56:18.2,Manager-000005,
,,,,
742,info received,01:21.7,,
,,,,
742,Check for completeness,01:31.7,Clerk-000005,
,,,,
742,Request info,19:12.4,Manager-000001,
,,,,
742,info received,34:48.7,,
,,,,
742,Check for completeness,34:58.7,Clerk-000005,
,,,,
742,Request info,36:35.5,Manager-000002,
,,,,
742,info received,45:15.2,,
,,,,
742,Check for completeness,45:25.2,Clerk-000005,
,,,,
742,Perform checks,53:14.7,Clerk-000003,
,,,,
742,Make decision,55:30.5,Manager-000005,
,,,,
742,notify reject,02:05.9,Manager-000006,
,,,,
742,time out,08:23.9,,
,,,,
742,EVENT 13 END,08:33.9,,
,,,,
744,Check for completeness,36:24.5,Clerk-000004,
,,,,
744,New online application received,36:24.5,,
,,,,
744,Request info,45:18.0,Manager-000001,
,,,,
744,info received,48:56.9,,
,,,,
744,Check for completeness,49:06.9,Clerk-000006,
,,,,
744,Request info,58:53.2,Manager-000002,
,,,,
744,info received,02:41.1,,
,,,,
744,Check for completeness,02:51.1,Clerk-000003,
,,,,
744,Perform checks,13:53.4,Clerk-000001,
,,,,
744,Make decision,22:03.0,Manager-000004,
,,,,
744,notify reject,24:17.6,Manager-000003,
,,,,
744,review request received,29:36.9,,
,,,,
744,Check for completeness,29:46.9,Clerk-000004,
,,,,
744,Perform checks,43:35.4,Clerk-000002,
,,,,
744,Make decision,45:55.1,Manager-000006,
,,,,
744,notify reject,55:26.2,Manager-000001,
,,,,
744,review request received,09:28.7,,
,,,,
744,Check for completeness,09:38.7,Clerk-000001,
,,,,
744,Perform checks,29:26.3,Clerk-000004,
,,,,
744,Make decision,56:04.2,Manager-000004,
,,,,
744,notify reject,57:57.6,Manager-000005,
,,,,
744,review request received,01:50.9,,
,,,,
744,Check for completeness,02:00.9,Clerk-000002,
,,,,
744,Perform checks,10:07.1,Clerk-000006,
,,,,
744,Make decision,18:02.3,Manager-000006,
,,,,
744,Notify accept,51:42.9,Manager-000003,
,,,,
744,Deliver card,55:22.3,Manager-000004,
,,,,
744,EVENT 13 END,02:59.1,,
,,,,
751,Check for completeness,31:05.5,Clerk-000004,
,,,,
751,New online application received,31:05.5,,
,,,,
751,Perform checks,34:18.1,Clerk-000006,
,,,,
751,Make decision,39:04.3,Manager-000002,
,,,,
751,notify reject,41:00.7,Manager-000003,
,,,,
751,review request received,43:41.0,,
,,,,
751,Check for completeness,43:51.0,Clerk-000002,
,,,,
751,Request info,07:19.0,Manager-000005,
,,,,
751,info received,16:28.7,,
,,,,
751,Check for completeness,16:38.7,Clerk-000005,
,,,,
751,Request info,18:14.5,Manager-000001,
,,,,
751,info received,29:03.1,,
,,,,
751,Check for completeness,29:13.1,Clerk-000004,
,,,,
751,Perform checks,51:34.5,Clerk-000003,
,,,,
751,Make decision,52:22.4,Manager-000003,
,,,,
751,Notify accept,52:28.2,Manager-000005,
,,,,
751,Deliver card,05:26.5,Manager-000002,
,,,,
751,EVENT 13 END,05:55.8,,
,,,,
755,Check for completeness,52:46.5,Clerk-000006,
,,,,
755,New online application received,52:46.5,,
,,,,
755,Request info,52:53.6,Manager-000005,
,,,,
755,info received,59:18.1,,
,,,,
755,Check for completeness,59:28.1,Clerk-000002,
,,,,
755,Perform checks,12:44.0,Clerk-000003,
,,,,
755,Make decision,31:08.2,Manager-000005,
,,,,
755,notify reject,56:05.9,Manager-000001,
,,,,
755,review request received,58:03.7,,
,,,,
755,Check for completeness,58:13.7,Clerk-000005,
,,,,
755,Perform checks,01:21.0,Clerk-000001,
,,,,
755,Make decision,29:23.9,Manager-000004,
,,,,
755,Notify accept,32:54.3,Manager-000006,
,,,,
755,Deliver card,50:16.3,Manager-000003,
,,,,
755,EVENT 13 END,08:51.3,,
,,,,
757,Check for completeness,03:24.1,Clerk-000005,
,,,,
757,New online application received,03:24.1,,
,,,,
757,Perform checks,08:53.5,Clerk-000001,
,,,,
757,Make decision,13:42.0,Manager-000004,
,,,,
757,notify reject,21:10.6,Manager-000003,
,,,,
757,review request received,45:07.3,,
,,,,
757,Check for completeness,45:17.3,Clerk-000002,
,,,,
757,Perform checks,51:09.6,Clerk-000004,
,,,,
757,Make decision,51:30.5,Manager-000002,
,,,,
757,Notify accept,56:59.2,Manager-000005,
,,,,
757,Deliver card,03:13.5,Manager-000004,
,,,,
757,EVENT 13 END,04:21.6,,
,,,,
764,Check for completeness,49:16.9,Clerk-000005,
,,,,
764,New online application received,49:16.9,,
,,,,
764,Request info,51:22.6,Manager-000001,
,,,,
764,info received,22:02.2,,
,,,,
764,Check for completeness,22:12.2,Clerk-000004,
,,,,
764,Request info,29:33.0,Manager-000004,
,,,,
764,info received,00:57.7,,
,,,,
764,Check for completeness,01:07.7,Clerk-000002,
,,,,
764,Perform checks,06:31.8,Clerk-000006,
,,,,
764,Make decision,21:26.3,Manager-000003,
,,,,
764,notify reject,31:01.7,Manager-000002,
,,,,
764,time out,43:39.1,,
,,,,
764,EVENT 13 END,43:49.1,,
,,,,
769,Check for completeness,45:48.1,Clerk-000005,
,,,,
769,New online application received,45:48.1,,
,,,,
769,Perform checks,46:37.3,Clerk-000003,
,,,,
769,Make decision,50:55.3,Manager-000003,
,,,,
769,notify reject,54:11.1,Manager-000005,
,,,,
769,time out,09:23.0,,
,,,,
769,EVENT 13 END,09:33.0,,
,,,,
777,Check for completeness,51:46.2,Clerk-000001,
,,,,
777,New online application received,51:46.2,,
,,,,
777,Perform checks,52:21.6,Clerk-000004,
,,,,
777,Make decision,15:26.0,Manager-000002,
,,,,
777,Notify accept,20:04.4,Manager-000001,
,,,,
777,Deliver card,22:35.2,Manager-000006,
,,,,
777,EVENT 13 END,27:48.0,,
,,,,
781,Check for completeness,38:51.8,Clerk-000003,
,,,,
781,New online application received,38:51.8,,
,,,,
781,Perform checks,44:31.1,Clerk-000005,
,,,,
781,Make decision,52:52.8,Manager-000004,
,,,,
781,notify reject,57:00.4,Manager-000002,
,,,,
781,time out,02:44.3,,
,,,,
781,EVENT 13 END,02:54.3,,
,,,,
785,Check for completeness,21:41.5,Clerk-000006,
,,,,
785,New online application received,21:41.5,,
,,,,
785,Perform checks,43:11.7,Clerk-000003,
,,,,
785,Make decision,55:13.1,Manager-000003,
,,,,
785,Notify accept,21:24.4,Manager-000005,
,,,,
785,Deliver card,27:12.9,Manager-000004,
,,,,
785,EVENT 13 END,32:49.3,,
,,,,
789,Check for completeness,03:01.4,Clerk-000002,
,,,,
789,New online application received,03:01.4,,
,,,,
789,Request info,06:30.4,Manager-000004,
,,,,
789,info received,34:00.4,,
,,,,
789,Check for completeness,34:10.4,Clerk-000005,
,,,,
789,Perform checks,37:18.5,Clerk-000002,
,,,,
789,Make decision,10:00.7,Manager-000004,
,,,,
789,notify reject,18:26.2,Manager-000003,
,,,,
789,time out,30:13.8,,
,,,,
789,EVENT 13 END,30:23.8,,
,,,,
793,Check for completeness,12:42.2,Clerk-000003,
,,,,
793,New online application received,12:42.2,,
,,,,
793,Request info,16:51.0,Manager-000004,
,,,,
793,info received,25:42.9,,
,,,,
793,Check for completeness,25:52.9,Clerk-000004,
,,,,
793,Perform checks,37:06.8,Clerk-000001,
,,,,
793,Make decision,42:18.1,Manager-000002,
,,,,
793,Notify accept,50:27.3,Manager-000006,
,,,,
793,Deliver card,50:30.2,Manager-000003,
,,,,
793,EVENT 13 END,11:24.6,,
,,,,
794,Check for completeness,27:44.3,Clerk-000002,
,,,,
794,New online application received,27:44.3,,
,,,,
794,Perform checks,46:56.3,Clerk-000005,
,,,,
794,Make decision,49:07.3,Manager-000005,
,,,,
794,Notify accept,53:47.9,Manager-000001,
,,,,
794,Deliver card,58:18.8,Manager-000004,
,,,,
794,EVENT 13 END,01:02.4,,
,,,,
804,Check for completeness,43:09.1,Clerk-000001,
,,,,
804,New online application received,43:09.1,,
,,,,
804,Request info,43:21.9,Manager-000001,
,,,,
804,info received,53:17.4,,
,,,,
804,Check for completeness,53:27.4,Clerk-000005,
,,,,
804,Perform checks,17:58.6,Clerk-000002,
,,,,
804,Make decision,20:51.9,Manager-000003,
,,,,
804,notify reject,23:41.5,Manager-000002,
,,,,
804,time out,28:25.6,,
,,,,
804,EVENT 13 END,28:35.6,,
,,,,
811,Check for completeness,22:22.5,Clerk-000006,
,,,,
811,New online application received,22:22.5,,
,,,,
811,Request info,34:59.8,Manager-000004,
,,,,
811,info received,55:45.9,,
,,,,
811,Check for completeness,55:55.9,Clerk-000005,
,,,,
811,Perform checks,00:04.9,Clerk-000002,
,,,,
811,Make decision,11:25.7,Manager-000006,
,,,,
811,notify reject,20:34.9,Manager-000001,
,,,,
811,time out,42:06.5,,
,,,,
811,EVENT 13 END,42:16.5,,
,,,,
812,Check for completeness,31:00.5,Clerk-000004,
,,,,
812,New online application received,31:00.5,,
,,,,
812,Perform checks,35:25.2,Clerk-000003,
,,,,
812,Make decision,39:50.5,Manager-000002,
,,,,
812,Notify accept,40:12.0,Manager-000001,
,,,,
812,Deliver card,49:37.5,Manager-000003,
,,,,
812,EVENT 13 END,52:54.2,,
,,,,
824,Check for completeness,35:30.0,Clerk-000004,
,,,,
824,New online application received,35:30.0,,
,,,,
824,Perform checks,45:54.8,Clerk-000006,
,,,,
824,Make decision,56:46.6,Manager-000004,
,,,,
824,Notify accept,04:15.6,Manager-000001,
,,,,
824,Deliver card,06:59.8,Manager-000002,
,,,,
824,EVENT 13 END,10:13.7,,
,,,,
826,Check for completeness,04:19.2,Clerk-000004,
,,,,
826,New online application received,04:19.2,,
,,,,
826,Request info,04:23.0,Manager-000006,
,,,,
826,info received,19:02.6,,
,,,,
826,Check for completeness,19:12.6,Clerk-000002,
,,,,
826,Request info,36:02.5,Manager-000001,
,,,,
826,info received,36:40.1,,
,,,,
826,Check for completeness,36:50.1,Clerk-000006,
,,,,
826,Request info,44:26.1,Manager-000003,
,,,,
826,info received,46:41.0,,
,,,,
826,Check for completeness,46:51.0,Clerk-000002,
,,,,
826,Request info,53:51.8,Manager-000004,
,,,,
826,info received,15:07.8,,
,,,,
826,Check for completeness,15:17.8,Clerk-000005,
,,,,
826,Request info,19:25.2,Manager-000003,
,,,,
826,info received,20:46.7,,
,,,,
826,Check for completeness,20:56.7,Clerk-000003,
,,,,
826,Request info,33:31.9,Manager-000001,
,,,,
826,info received,06:39.1,,
,,,,
826,Check for completeness,06:49.1,Clerk-000006,
,,,,
826,Perform checks,16:03.3,Clerk-000003,
,,,,
826,Make decision,42:20.1,Manager-000003,
,,,,
826,notify reject,52:59.1,Manager-000006,
,,,,
826,review request received,26:53.9,,
,,,,
826,Check for completeness,27:03.9,Clerk-000001,
,,,,
826,Request info,47:10.6,Manager-000004,
,,,,
826,info received,01:51.9,,
,,,,
826,Check for completeness,02:01.9,Clerk-000005,
,,,,
826,Request info,08:51.9,Manager-000005,
,,,,
826,info received,35:11.3,,
,,,,
826,Check for completeness,35:21.3,Clerk-000002,
,,,,
826,Request info,35:58.0,Manager-000004,
,,,,
826,info received,38:07.9,,
,,,,
826,Check for completeness,38:17.9,Clerk-000005,
,,,,
826,Request info,02:45.0,Manager-000002,
,,,,
826,info received,10:33.3,,
,,,,
826,Check for completeness,10:43.3,Clerk-000002,
,,,,
826,Request info,22:54.6,Manager-000003,
,,,,
826,info received,30:12.0,,
,,,,
826,Check for completeness,30:22.0,Clerk-000005,
,,,,
826,Perform checks,30:56.0,Clerk-000002,
,,,,
826,Make decision,41:40.3,Manager-000002,
,,,,
826,Notify accept,51:06.9,Manager-000005,
,,,,
826,Deliver card,52:15.3,Manager-000003,
,,,,
826,EVENT 13 END,01:33.9,,
,,,,
828,Check for completeness,29:12.6,Clerk-000005,
,,,,
828,New online application received,29:12.6,,
,,,,
828,Perform checks,39:30.0,Clerk-000004,
,,,,
828,Make decision,56:15.1,Manager-000006,
,,,,
828,notify reject,56:36.1,Manager-000001,
,,,,
828,time out,57:38.2,,
,,,,
828,EVENT 13 END,57:48.2,,
,,,,
841,Check for completeness,39:16.7,Clerk-000006,
,,,,
841,New online application received,39:16.7,,
,,,,
841,Perform checks,52:39.2,Clerk-000001,
,,,,
841,Make decision,58:16.8,Manager-000004,
,,,,
841,Notify accept,00:11.5,Manager-000002,
,,,,
841,Deliver card,00:33.6,Manager-000006,
,,,,
841,EVENT 13 END,14:36.5,,
,,,,
845,Check for completeness,26:01.8,Clerk-000001,
,,,,
845,New online application received,26:01.8,,
,,,,
845,Request info,42:35.1,Manager-000003,
,,,,
845,info received,43:16.1,,
,,,,
845,Check for completeness,43:26.1,Clerk-000002,
,,,,
845,Perform checks,09:23.3,Clerk-000004,
,,,,
845,Make decision,13:01.3,Manager-000002,
,,,,
845,notify reject,17:30.1,Manager-000004,
,,,,
845,review request received,20:31.0,,
,,,,
845,Check for completeness,20:41.0,Clerk-000003,
,,,,
845,Request info,42:27.4,Manager-000003,
,,,,
845,info received,46:43.5,,
,,,,
845,Check for completeness,46:53.5,Clerk-000004,
,,,,
845,Perform checks,52:57.0,Clerk-000006,
,,,,
845,Make decision,54:17.6,Manager-000002,
,,,,
845,Notify accept,20:23.0,Manager-000006,
,,,,
845,Deliver card,33:51.2,Manager-000003,
,,,,
845,EVENT 13 END,18:15.9,,
,,,,
846,Check for completeness,59:26.8,Clerk-000006,
,,,,
846,New online application received,59:26.8,,
,,,,
846,Request info,25:01.8,Manager-000006,
,,,,
846,info received,36:55.6,,
,,,,
846,Check for completeness,37:05.6,Clerk-000002,
,,,,
846,Request info,56:41.6,Manager-000004,
,,,,
846,info received,15:01.8,,
,,,,
846,Check for completeness,15:11.8,Clerk-000005,
,,,,
846,Request info,35:20.2,Manager-000004,
,,,,
846,info received,43:05.2,,
,,,,
846,Check for completeness,43:15.2,Clerk-000001,
,,,,
846,Perform checks,52:02.1,Clerk-000003,
,,,,
846,Make decision,54:43.7,Manager-000005,
,,,,
846,Notify accept,55:30.7,Manager-000002,
,,,,
846,Deliver card,59:00.2,Manager-000001,
,,,,
846,EVENT 13 END,01:54.2,,
,,,,
853,Check for completeness,10:44.0,Clerk-000006,
,,,,
853,New online application received,10:44.0,,
,,,,
853,Perform checks,29:23.9,Clerk-000001,
,,,,
853,Make decision,35:16.6,Manager-000004,
,,,,
853,Notify accept,45:36.4,Manager-000005,
,,,,
853,Deliver card,52:36.5,Manager-000006,
,,,,
853,EVENT 13 END,00:55.3,,
,,,,
854,Check for completeness,36:54.3,Clerk-000003,
,,,,
854,New online application received,36:54.3,,
,,,,
854,Perform checks,44:39.0,Clerk-000004,
,,,,
854,Make decision,50:21.3,Manager-000002,
,,,,
854,Notify accept,20:36.5,Manager-000004,
,,,,
854,Deliver card,48:33.0,Manager-000003,
,,,,
854,EVENT 13 END,08:20.9,,
,,,,
855,Check for completeness,12:46.0,Clerk-000002,
,,,,
855,New online application received,12:46.0,,
,,,,
855,Request info,37:54.9,Manager-000005,
,,,,
855,info received,42:29.5,,
,,,,
855,Check for completeness,42:39.5,Clerk-000006,
,,,,
855,Request info,45:03.0,Manager-000001,
,,,,
855,info received,46:51.4,,
,,,,
855,Check for completeness,47:01.4,Clerk-000001,
,,,,
855,Request info,49:43.8,Manager-000002,
,,,,
855,info received,06:16.3,,
,,,,
855,Check for completeness,06:26.3,Clerk-000004,
,,,,
855,Perform checks,27:08.7,Clerk-000005,
,,,,
855,Make decision,32:44.9,Manager-000004,
,,,,
855,notify reject,47:25.8,Manager-000002,
,,,,
855,time out,58:47.8,,
,,,,
855,EVENT 13 END,58:57.8,,
,,,,
860,Check for completeness,13:24.3,Clerk-000005,
,,,,
860,New online application received,13:24.3,,
,,,,
860,Request info,27:29.1,Manager-000004,
,,,,
860,info received,36:36.8,,
,,,,
860,Check for completeness,36:46.8,Clerk-000002,
,,,,
860,Request info,41:26.5,Manager-000002,
,,,,
860,info received,41:48.7,,
,,,,
860,Check for completeness,41:58.7,Clerk-000005,
,,,,
860,Request info,50:22.1,Manager-000004,
,,,,
860,info received,51:53.8,,
,,,,
860,Check for completeness,52:03.8,Clerk-000004,
,,,,
860,Request info,02:35.8,Manager-000006,
,,,,
860,info received,16:06.1,,
,,,,
860,Check for completeness,16:16.1,Clerk-000006,
,,,,
860,Perform checks,29:31.8,Clerk-000005,
,,,,
860,Make decision,31:11.8,Manager-000005,
,,,,
860,notify reject,42:16.4,Manager-000004,
,,,,
860,time out,00:09.3,,
,,,,
860,EVENT 13 END,00:19.3,,
,,,,
866,Check for completeness,02:11.8,Clerk-000001,
,,,,
866,New online application received,02:11.8,,
,,,,
866,Perform checks,12:06.0,Clerk-000004,
,,,,
866,Make decision,29:58.0,Manager-000006,
,,,,
866,notify reject,48:13.9,Manager-000002,
,,,,
866,time out,06:48.5,,
,,,,
866,EVENT 13 END,06:58.5,,
,,,,
881,Check for completeness,29:44.6,Clerk-000002,
,,,,
881,New online application received,29:44.6,,
,,,,
881,Perform checks,31:59.3,Clerk-000005,
,,,,
881,Make decision,38:53.8,Manager-000002,
,,,,
881,Notify accept,41:59.8,Manager-000003,
,,,,
881,Deliver card,07:17.0,Manager-000006,
,,,,
881,EVENT 13 END,25:40.0,,
,,,,
885,Check for completeness,55:40.9,Clerk-000002,
,,,,
885,New online application received,55:40.9,,
,,,,
885,Request info,01:51.0,Manager-000003,
,,,,
885,info received,31:59.9,,
,,,,
885,Check for completeness,32:09.9,Clerk-000006,
,,,,
885,Perform checks,49:29.8,Clerk-000003,
,,,,
885,Make decision,51:18.8,Manager-000004,
,,,,
885,Notify accept,54:04.2,Manager-000005,
,,,,
885,Deliver card,21:00.9,Manager-000004,
,,,,
885,EVENT 13 END,37:23.8,,
,,,,
898,Check for completeness,00:21.1,Clerk-000005,
,,,,
898,New online application received,00:21.1,,
,,,,
898,Perform checks,01:01.5,Clerk-000003,
,,,,
898,Make decision,05:29.8,Manager-000001,
,,,,
898,Notify accept,17:14.5,Manager-000005,
,,,,
898,Deliver card,50:14.5,Manager-000003,
,,,,
898,EVENT 13 END,15:13.3,,
,,,,
900,Check for completeness,57:35.6,Clerk-000006,
,,,,
900,New online application received,57:35.6,,
,,,,
900,Request info,59:27.0,Manager-000002,
,,,,
900,info received,06:34.0,,
,,,,
900,Check for completeness,06:44.0,Clerk-000004,
,,,,
900,Perform checks,14:06.7,Clerk-000005,
,,,,
900,Make decision,14:39.2,Manager-000004,
,,,,
900,notify reject,23:55.3,Manager-000001,
,,,,
900,time out,26:58.2,,
,,,,
900,EVENT 13 END,27:08.2,,
,,,,
901,Check for completeness,45:18.7,Clerk-000006,
,,,,
901,New online application received,45:18.7,,
,,,,
901,Perform checks,47:01.2,Clerk-000001,
,,,,
901,Make decision,48:20.8,Manager-000006,
,,,,
901,notify reject,17:22.6,Manager-000004,
,,,,
901,time out,21:47.3,,
,,,,
901,EVENT 13 END,21:57.3,,
,,,,
910,Check for completeness,26:41.4,Clerk-000002,
,,,,
910,New online application received,26:41.4,,
,,,,
910,Request info,33:29.9,Manager-000005,
,,,,
910,info received,14:43.6,,
,,,,
910,Check for completeness,14:53.6,Clerk-000003,
,,,,
910,Request info,15:14.8,Manager-000003,
,,,,
910,info received,25:01.4,,
,,,,
910,Check for completeness,25:11.4,Clerk-000005,
,,,,
910,Request info,04:56.2,Manager-000006,
,,,,
910,info received,04:56.3,,
,,,,
910,Check for completeness,05:06.3,Clerk-000001,
,,,,
910,Perform checks,13:01.2,Clerk-000006,
,,,,
910,Make decision,17:48.9,Manager-000005,
,,,,
910,Notify accept,18:33.3,Manager-000003,
,,,,
910,Deliver card,26:55.6,Manager-000002,
,,,,
910,EVENT 13 END,34:44.4,,
,,,,
912,Check for completeness,40:39.6,Clerk-000003,
,,,,
912,New online application received,40:39.6,,
,,,,
912,Perform checks,41:44.7,Clerk-000004,
,,,,
912,Make decision,50:12.0,Manager-000001,
,,,,
912,Notify accept,55:16.5,Manager-000004,
,,,,
912,Deliver card,05:13.7,Manager-000003,
,,,,
912,EVENT 13 END,31:02.0,,
,,,,
919,Check for completeness,09:38.4,Clerk-000002,
,,,,
919,New online application received,09:38.4,,
,,,,
919,Request info,14:06.7,Manager-000004,
,,,,
919,info received,19:21.7,,
,,,,
919,Check for completeness,19:31.7,Clerk-000004,
,,,,
919,Perform checks,39:28.9,Clerk-000001,
,,,,
919,Make decision,48:17.4,Manager-000002,
,,,,
919,Notify accept,53:47.3,Manager-000006,
,,,,
919,Deliver card,54:31.8,Manager-000005,
,,,,
919,EVENT 13 END,57:45.8,,
,,,,
923,Check for completeness,52:08.1,Clerk-000004,
,,,,
923,New online application received,52:08.1,,
,,,,
923,Request info,02:48.3,Manager-000006,
,,,,
923,info received,05:05.6,,
,,,,
923,Check for completeness,05:15.6,Clerk-000001,
,,,,
923,Perform checks,07:18.2,Clerk-000002,
,,,,
923,Make decision,28:48.3,Manager-000005,
,,,,
923,Notify accept,05:12.1,Manager-000006,
,,,,
923,Deliver card,08:31.4,Manager-000001,
,,,,
923,EVENT 13 END,09:47.9,,
,,,,
937,Check for completeness,36:12.5,Clerk-000004,
,,,,
937,New online application received,36:12.5,,
,,,,
937,Perform checks,40:40.8,Clerk-000003,
,,,,
937,Make decision,07:36.6,Manager-000002,
,,,,
937,notify reject,15:48.2,Manager-000004,
,,,,
937,time out,16:40.2,,
,,,,
937,EVENT 13 END,16:50.2,,
,,,,
938,Check for completeness,38:03.0,Clerk-000002,
,,,,
938,New online application received,38:03.0,,
,,,,
938,Request info,10:59.7,Manager-000001,
,,,,
938,info received,12:58.4,,
,,,,
938,Check for completeness,13:08.4,Clerk-000001,
,,,,
938,Perform checks,22:33.9,Clerk-000003,
,,,,
938,Make decision,41:52.1,Manager-000005,
,,,,
938,notify reject,47:41.5,Manager-000002,
,,,,
938,review request received,57:18.9,,
,,,,
938,Check for completeness,57:28.9,Clerk-000005,
,,,,
938,Request info,23:59.8,Manager-000002,
,,,,
938,info received,29:54.5,,
,,,,
938,Check for completeness,30:04.5,Clerk-000003,
,,,,
938,Perform checks,32:20.2,Clerk-000005,
,,,,
938,Make decision,34:47.9,Manager-000005,
,,,,
938,notify reject,42:26.7,Manager-000006,
,,,,
938,time out,55:49.5,,
,,,,
