Case,Activity,Timestamp,Resource,Injection,Aug,augmented_activity,semantic_reason,resource,case,diagnose
1493.0,EVENT 13 END,NaT,,,1,Check for completeness,Random swap,,,
1493.0,info received,NaT,,,1,Check for completeness,Random swap,,,
1493.0,Check for completeness,NaT,Clerk-000002,,1,info received,Random swap,,,
1493.0,Make decision,NaT,Manager-000002,,1,Request info,Random swap,,,
1493.0,Request info,NaT,Manager-000001,,1,Make decision,Random swap,,,
1500.0,Request info,2025-05-31 07:51:06,Manager-000001,,0,,,,,
1500.0,info received,2025-05-31 10:04:36,,,0,,,,,
1500.0,Check for completeness,2025-05-31 10:14:36,Clerk-000004,,0,,,,,
1500.0,Perform checks,2025-05-31 17:18:36,Clerk-000006,,0,,,,,
1500.0,Perform checks,2025-05-31 17:18:36,Clerk-000006,,1,Make decision,Random swap,,,
1500.0,Make decision,2025-05-31 21:22:48,Manager-000004,,0,,,,,
1500.0,Make decision,2025-05-31 21:22:48,Manager-000004,,1,Perform checks,Random swap,,,
1500.0,Notify accept,2025-05-31 21:52:24,Manager-000003,,0,,,,,
1500.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
1500.0,New online application received,NaT,,,0,,,,,
1500.0,Deliver card,NaT,Manager-000006,,0,,,,,
1500.0,EVENT 13 END,NaT,,,0,,,,,
1500.0,New online application received,NaT,,,1,Deliver card,Random swap,,,
1500.0,Deliver card,NaT,Manager-000006,,1,New online application received,Random swap,,,
1502.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
1502.0,New online application received,NaT,,,0,,,,,
1502.0,Perform checks,NaT,Clerk-000001,,0,,,,,
1502.0,Make decision,NaT,Manager-000005,,0,,,,,
1502.0,Notify accept,NaT,Manager-000001,,0,,,,,
1502.0,Deliver card,NaT,Manager-000004,,0,,,,,
1502.0,EVENT 13 END,NaT,,,0,,,,,
1502.0,Perform checks,NaT,Clerk-000001,,1,Perform checks,Random delete (for augmentation only),,,
1508.0,Check for completeness,2025-05-31 19:13:48,Clerk-000003,,0,,,,,
1508.0,New online application received,2025-05-31 19:13:48,,,0,,,,,
1508.0,Perform checks,NaT,Clerk-000006,,0,,,,,
1508.0,Make decision,NaT,Manager-000006,,0,,,,,
1508.0,notify reject,NaT,Manager-000005,,0,,,,,
1508.0,time out,NaT,,,0,,,,,
1508.0,EVENT 13 END,NaT,,,0,,,,,
1508.0,Perform checks,NaT,Clerk-000006,,1,Perform checks,Random delete (for augmentation only),,,
1508.0,EVENT 13 END,NaT,,,1,EVENT 13 END,Random delete (for augmentation only),,,
1512.0,notify reject,2025-05-31 11:02:18,Manager-000002,,0,,,,,
1512.0,review request received,2025-05-31 19:38:18,,,0,,,,,
1512.0,Check for completeness,2025-05-31 19:48:18,Clerk-000003,,0,,,,,
1512.0,Perform checks,2025-05-31 20:54:00,Clerk-000006,,0,,,,,
1512.0,Check for completeness,2025-05-31 21:51:36,Clerk-000002,,0,,,,,
1512.0,New online application received,2025-05-31 21:51:36,,,0,,,,,
1512.0,New online application received,2025-05-31 21:51:36,,,1,New online application received,Random delete (for augmentation only),,,
1512.0,Perform checks,NaT,Clerk-000001,,0,,,,,
1512.0,Make decision,NaT,Manager-000001,,0,,,,,
1512.0,Make decision,NaT,Manager-000006,,0,,,,,
1512.0,Notify accept,NaT,Manager-000005,,0,,,,,
1512.0,Deliver card,NaT,Manager-000003,,0,,,,,
1512.0,EVENT 13 END,NaT,,,0,,,,,
1512.0,Make decision,NaT,Manager-000001,,1,Make decision,Random delete (for augmentation only),,,
1513.0,Check for completeness,NaT,Clerk-000005,,0,,,,,
1513.0,New online application received,NaT,,,0,,,,,
1513.0,Perform checks,NaT,Clerk-000003,,0,,,,,
1513.0,Make decision,NaT,Manager-000002,,0,,,,,
1513.0,Notify accept,NaT,Manager-000004,,0,,,,,
1513.0,Deliver card,NaT,Manager-000001,,0,,,,,
1513.0,EVENT 13 END,NaT,,,0,,,,,
1513.0,Notify accept,NaT,Manager-000004,,1,Notify accept,Random delete (for augmentation only),,,
1513.0,New online application received,NaT,,,1,New online application received,Random delete (for augmentation only),,,
1516.0,Request info,2025-05-31 03:07:18,Manager-000003,,0,,,,,
1516.0,info received,2025-05-31 05:35:00,,,0,,,,,
1516.0,Check for completeness,2025-05-31 05:45:00,Clerk-000003,,0,,,,,
1516.0,Perform checks,2025-05-31 15:44:48,Clerk-000005,,0,,,,,
1516.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
1516.0,New online application received,NaT,,,0,,,,,
1516.0,Make decision,NaT,Manager-000004,,0,,,,,
1516.0,Notify accept,NaT,Manager-000001,,0,,,,,
1516.0,Deliver card,NaT,Manager-000006,,0,,,,,
1516.0,EVENT 13 END,NaT,,,0,,,,,
1516.0,Check for completeness,NaT,Clerk-000004,,1,Check for completeness,Random delete (for augmentation only),,,
1525.0,Request info,2025-05-31 10:31:48,Manager-000001,,0,,,,,
1525.0,info received,2025-05-31 11:23:12,,,0,,,,,
1525.0,Check for completeness,2025-05-31 11:33:12,Clerk-000006,,0,,,,,
1525.0,Request info,2025-05-31 12:00:42,Manager-000003,,0,,,,,
1525.0,info received,2025-05-31 16:42:18,,,0,,,,,
1525.0,Request info,2025-05-31 16:43:42,Manager-000004,,0,,,,,
1525.0,Request info,2025-05-31 16:43:42,Manager-000004,,1,Request info,Random delete (for augmentation only),,,
1525.0,Check for completeness,2025-05-31 16:52:18,Clerk-000001,,0,,,,,
1525.0,Perform checks,2025-05-31 18:52:18,Clerk-000004,,0,,,,,
1525.0,Perform checks,2025-05-31 19:15:54,Clerk-000003,,0,,,,,
1525.0,Make decision,NaT,Manager-000002,,0,,,,,
1525.0,Check for completeness,NaT,Clerk-000001,,0,,,,,
1525.0,New online application received,NaT,,,0,,,,,
1525.0,Make decision,NaT,Manager-000006,,0,,,,,
1525.0,Request info,NaT,Manager-000002,,0,,,,,
1525.0,notify reject,NaT,Manager-000004,,0,,,,,
1525.0,review request received,NaT,,,0,,,,,
1525.0,Check for completeness,NaT,Clerk-000001,,0,,,,,
1525.0,info received,NaT,,,0,,,,,
1525.0,Check for completeness,NaT,Clerk-000005,,0,,,,,
1525.0,notify reject,NaT,Manager-000006,,0,,,,,
1525.0,time out,NaT,,,0,,,,,
1525.0,EVENT 13 END,NaT,,,0,,,,,
1525.0,Request info,NaT,Manager-000002,,0,,,,,
1525.0,info received,NaT,,,0,,,,,
1525.0,Check for completeness,NaT,Clerk-000005,,0,,,,,
1525.0,info received,NaT,,,0,,,,,
1525.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
1525.0,time out,NaT,,,1,time out,Random delete (for augmentation only),,,
1525.0,Check for completeness,NaT,Clerk-000003,,1,Check for completeness,Random delete (for augmentation only),,,
1525.0,notify reject,NaT,Manager-000004,,1,review request received,Random swap,,,
1525.0,review request received,NaT,,,1,notify reject,Random swap,,,
1525.0,New online application received,NaT,,,1,Make decision,Random swap,,,
1525.0,Make decision,NaT,Manager-000006,,1,New online application received,Random swap,,,
1530.0,Perform checks,2025-05-31 00:38:24,Clerk-000002,,0,,,,,
1530.0,Request info,2025-05-31 04:57:00,Manager-000006,,0,,,,,
1530.0,Make decision,2025-05-31 09:21:42,Manager-000006,,0,,,,,
1530.0,Make decision,2025-05-31 09:21:42,Manager-000006,,1,notify reject,Random swap,,,
1530.0,notify reject,2025-05-31 13:05:06,Manager-000005,,0,,,,,
1530.0,notify reject,2025-05-31 13:05:06,Manager-000005,,1,Make decision,Random swap,,,
1530.0,info received,2025-05-31 14:13:06,,,0,,,,,
1530.0,Check for completeness,2025-05-31 14:23:06,Clerk-000002,,0,,,,,
1530.0,Request info,2025-05-31 19:44:12,Manager-000005,,0,,,,,
1530.0,info received,2025-05-31 20:33:42,,,0,,,,,
1530.0,Check for completeness,2025-05-31 20:43:42,Clerk-000005,,0,,,,,
1530.0,time out,NaT,,,0,,,,,
1530.0,EVENT 13 END,NaT,,,0,,,,,
1530.0,Request info,NaT,Manager-000003,,0,,,,,
1530.0,info received,NaT,,,0,,,,,
1530.0,Check for completeness,NaT,Clerk-000001,,0,,,,,
1530.0,Request info,NaT,Manager-000002,,0,,,,,
1530.0,info received,NaT,,,0,,,,,
1530.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
1530.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
1530.0,New online application received,NaT,,,0,,,,,
1530.0,Check for completeness,NaT,Clerk-000004,,1,Check for completeness,Random delete (for augmentation only),,,
1530.0,Check for completeness,NaT,Clerk-000004,,1,New online application received,Random swap,,,
1530.0,New online application received,NaT,,,1,Check for completeness,Random swap,,,
1530.0,info received,NaT,,,1,Check for completeness,Random swap,,,
1530.0,Check for completeness,NaT,Clerk-000001,,1,info received,Random swap,,,
1536.0,notify reject,2025-05-31 03:58:18,Manager-000002,,0,,,,,
1536.0,notify reject,2025-05-31 03:58:18,Manager-000002,,1,Check for completeness,Random swap,,,
1536.0,Check for completeness,2025-05-31 05:10:18,Clerk-000004,,0,,,,,
1536.0,New online application received,2025-05-31 05:10:18,,,0,,,,,
1536.0,New online application received,2025-05-31 05:10:18,,,1,New online application received,Random delete (for augmentation only),,,
1536.0,Check for completeness,2025-05-31 05:10:18,Clerk-000004,,1,notify reject,Random swap,,,
1536.0,time out,2025-05-31 07:14:18,,,0,,,,,
1536.0,EVENT 13 END,2025-05-31 07:24:18,,,0,,,,,
1536.0,Request info,2025-05-31 18:37:48,Manager-000001,,0,,,,,
1536.0,info received,NaT,,,0,,,,,
1536.0,Check for completeness,NaT,Clerk-000005,,0,,,,,
1536.0,Perform checks,NaT,Clerk-000002,,0,,,,,
1536.0,Make decision,NaT,Manager-000005,,0,,,,,
1541.0,info received,2025-05-31 04:25:06,,,0,,,,,
1541.0,Check for completeness,2025-05-31 04:35:06,Clerk-000002,,0,,,,,
1541.0,Request info,2025-05-31 06:56:48,Manager-000005,,0,,,,,
1541.0,Check for completeness,2025-05-31 10:01:42,Clerk-000004,,0,,,,,
1541.0,New online application received,2025-05-31 10:01:42,,,0,,,,,
1541.0,info received,2025-05-31 13:10:42,,,0,,,,,
1541.0,Request info,2025-05-31 13:15:12,Manager-000006,,0,,,,,
1541.0,Check for completeness,2025-05-31 13:20:42,Clerk-000004,,0,,,,,
1541.0,info received,2025-05-31 15:33:24,,,0,,,,,
1541.0,Check for completeness,2025-05-31 15:43:24,Clerk-000002,,0,,,,,
1541.0,Perform checks,2025-05-31 19:07:54,Clerk-000001,,0,,,,,
1541.0,Make decision,NaT,Manager-000003,,0,,,,,
1541.0,Request info,NaT,Manager-000005,,0,,,,,
1541.0,Notify accept,NaT,Manager-000006,,0,,,,,
1541.0,Deliver card,NaT,Manager-000005,,0,,,,,
1541.0,info received,NaT,,,0,,,,,
1541.0,Check for completeness,NaT,Clerk-000006,,0,,,,,
1541.0,Request info,NaT,Manager-000006,,0,,,,,
1541.0,EVENT 13 END,NaT,,,0,,,,,
1541.0,info received,NaT,,,1,info received,Random delete (for augmentation only),,,
1541.0,Request info,NaT,Manager-000006,,1,Request info,Random delete (for augmentation only),,,
1541.0,Notify accept,NaT,Manager-000006,,1,Deliver card,Random swap,,,
1541.0,Deliver card,NaT,Manager-000005,,1,Notify accept,Random swap,,,
1541.0,Check for completeness,NaT,Clerk-000006,,1,Request info,Random swap,,,
1541.0,Request info,NaT,Manager-000006,,1,Check for completeness,Random swap,,,
1544.0,Check for completeness,2025-05-31 06:44:42,Clerk-000006,,0,,,,,
1544.0,New online application received,2025-05-31 06:44:42,,,0,,,,,
1544.0,Perform checks,2025-05-31 08:40:42,Clerk-000004,,0,,,,,
1544.0,Perform checks,2025-05-31 08:40:42,Clerk-000004,,1,Perform checks,Random delete (for augmentation only),,,
1544.0,Make decision,2025-05-31 17:56:48,Manager-000005,,0,,,,,
1544.0,Notify accept,2025-05-31 20:57:36,Manager-000003,,0,,,,,
1544.0,Deliver card,NaT,Manager-000002,,0,,,,,
1544.0,EVENT 13 END,NaT,,,0,,,,,
1548.0,Perform checks,2025-05-31 00:02:36,Clerk-000004,,0,,,,,
1548.0,Make decision,2025-05-31 03:42:36,Manager-000002,,0,,,,,
1548.0,Make decision,2025-05-31 03:42:36,Manager-000002,,1,Notify accept,Random swap,,,
1548.0,Notify accept,2025-05-31 10:51:36,Manager-000001,,0,,,,,
1548.0,Notify accept,2025-05-31 10:51:36,Manager-000001,,1,Check for completeness,Random swap,,,
1548.0,Notify accept,2025-05-31 10:51:36,Manager-000001,,1,Make decision,Random swap,,,
1548.0,Check for completeness,NaT,Clerk-000002,,0,,,,,
1548.0,New online application received,NaT,,,0,,,,,
1548.0,Deliver card,NaT,Manager-000006,,0,,,,,
1548.0,Request info,NaT,Manager-000004,,0,,,,,
1548.0,EVENT 13 END,NaT,,,0,,,,,
1548.0,info received,NaT,,,0,,,,,
1548.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
1548.0,Request info,NaT,Manager-000005,,0,,,,,
1548.0,info received,NaT,,,0,,,,,
1548.0,Check for completeness,NaT,Clerk-000006,,0,,,,,
1548.0,Check for completeness,NaT,Clerk-000002,,1,Notify accept,Random swap,,,
1548.0,info received,NaT,,,1,Check for completeness,Random swap,,,
1548.0,Check for completeness,NaT,Clerk-000006,,1,info received,Random swap,,,
1553.0,review request received,2025-05-31 00:10:30,,,0,,,,,
1553.0,Check for completeness,2025-05-31 00:20:30,Clerk-000003,,0,,,,,
1553.0,Check for completeness,2025-05-31 00:20:30,Clerk-000003,,1,Request info,Random swap,,,
1553.0,Request info,2025-05-31 02:18:06,Manager-000004,,0,,,,,
1553.0,Request info,2025-05-31 02:18:06,Manager-000004,,1,Check for completeness,Random swap,,,
1553.0,info received,2025-05-31 03:47:36,,,0,,,,,
1553.0,Check for completeness,2025-05-31 03:57:36,Clerk-000006,,0,,,,,
1553.0,info received,2025-05-31 04:57:12,,,0,,,,,
1553.0,Check for completeness,2025-05-31 05:07:12,Clerk-000006,,0,,,,,
1553.0,Perform checks,2025-05-31 11:30:18,Clerk-000004,,0,,,,,
1553.0,Perform checks,2025-05-31 11:30:18,Clerk-000004,,1,Perform checks,Random delete (for augmentation only),,,
1553.0,Make decision,2025-05-31 12:17:24,Manager-000001,,0,,,,,
1553.0,Request info,2025-05-31 14:20:54,Manager-000005,,0,,,,,
1553.0,Request info,2025-05-31 14:20:54,Manager-000005,,1,Request info,Random swap,,,
1553.0,Request info,2025-05-31 15:50:18,Manager-000002,,0,,,,,
1553.0,Request info,2025-05-31 15:50:18,Manager-000002,,1,Request info,Random swap,,,
1553.0,info received,2025-05-31 22:41:06,,,0,,,,,
1553.0,Check for completeness,2025-05-31 22:51:06,Clerk-000001,,0,,,,,
1553.0,Notify accept,2025-05-31 23:08:54,Manager-000002,,0,,,,,
1553.0,Deliver card,2025-05-31 23:58:30,Manager-000006,,0,,,,,
1553.0,Deliver card,2025-05-31 23:58:30,Manager-000006,,1,Deliver card,Random delete (for augmentation only),,,
1553.0,info received,NaT,,,0,,,,,
1553.0,Check for completeness,NaT,Clerk-000005,,0,,,,,
1553.0,Perform checks,NaT,Clerk-000002,,0,,,,,
1553.0,Make decision,NaT,Manager-000006,,0,,,,,
1553.0,notify reject,NaT,Manager-000003,,0,,,,,
1553.0,Request info,NaT,Manager-000001,,0,,,,,
1553.0,EVENT 13 END,NaT,,,0,,,,,
1553.0,info received,NaT,,,0,,,,,
1553.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
1553.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
1553.0,New online application received,NaT,,,0,,,,,
1553.0,Request info,NaT,Manager-000004,,0,,,,,
1553.0,Check for completeness,NaT,Clerk-000003,,1,Check for completeness,Random delete (for augmentation only),,,
1558.0,Check for completeness,2025-05-31 00:02:06,Clerk-000005,,0,,,,,
1558.0,Perform checks,2025-05-31 05:53:48,Clerk-000004,,0,,,,,
1558.0,Perform checks,2025-05-31 05:53:48,Clerk-000004,,1,Perform checks,Random delete (for augmentation only),,,
1558.0,EVENT 13 END,2025-05-31 09:53:24,,,0,,,,,
1558.0,EVENT 13 END,2025-05-31 09:53:24,,,1,EVENT 13 END,Random delete (for augmentation only),,,
1558.0,Make decision,2025-05-31 10:51:12,Manager-000006,,0,,,,,
1558.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
1558.0,New online application received,NaT,,,0,,,,,
1558.0,Perform checks,NaT,Clerk-000002,,0,,,,,
1558.0,Notify accept,NaT,Manager-000001,,0,,,,,
1558.0,Make decision,NaT,Manager-000006,,0,,,,,
1558.0,Deliver card,NaT,Manager-000005,,0,,,,,
1558.0,notify reject,NaT,Manager-000005,,0,,,,,
1558.0,review request received,NaT,,,0,,,,,
1558.0,review request received,NaT,,,1,review request received,Random delete (for augmentation only),,,
1563.0,Check for completeness,2025-05-31 10:48:54,Clerk-000001,,0,,,,,
1563.0,New online application received,2025-05-31 10:48:54,,,0,,,,,
1563.0,Perform checks,2025-05-31 12:11:42,Clerk-000005,,0,,,,,
1563.0,Perform checks,2025-05-31 12:11:42,Clerk-000005,,1,Perform checks,Random delete (for augmentation only),,,
1563.0,Make decision,2025-05-31 12:56:42,Manager-000003,,0,,,,,
1563.0,Deliver card,2025-05-31 20:41:30,Manager-000006,,0,,,,,
1563.0,EVENT 13 END,NaT,,,0,,,,,
1563.0,Notify accept,NaT,Manager-000005,,0,,,,,
1563.0,Notify accept,NaT,Manager-000005,,1,Notify accept,Random delete (for augmentation only),,,
1567.0,review request received,2025-05-31 08:04:42,,,0,,,,,
1567.0,Check for completeness,2025-05-31 08:14:42,Clerk-000002,,0,,,,,
1567.0,Check for completeness,2025-05-31 08:14:42,Clerk-000002,,1,Check for completeness,Random delete (for augmentation only),,,
1567.0,Perform checks,2025-05-31 11:48:06,Clerk-000006,,0,,,,,
1567.0,info received,2025-05-31 12:53:24,,,0,,,,,
1567.0,Check for completeness,2025-05-31 13:03:24,Clerk-000002,,0,,,,,
1567.0,Request info,2025-05-31 16:31:18,Manager-000002,,0,,,,,
1567.0,review request received,2025-05-31 23:37:48,,,0,,,,,
1567.0,Check for completeness,2025-05-31 23:47:48,Clerk-000004,,0,,,,,
1567.0,Request info,NaT,Manager-000004,,0,,,,,
1567.0,info received,NaT,,,0,,,,,
1567.0,Check for completeness,NaT,Clerk-000006,,0,,,,,
1567.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
1567.0,New online application received,NaT,,,0,,,,,
1567.0,info received,NaT,,,0,,,,,
1567.0,Perform checks,NaT,Clerk-000002,,0,,,,,
1567.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
1567.0,Make decision,NaT,Manager-000004,,0,,,,,
1567.0,Request info,NaT,Manager-000001,,0,,,,,
1567.0,notify reject,NaT,Manager-000001,,0,,,,,
1567.0,Perform checks,NaT,Clerk-000004,,0,,,,,
1567.0,Make decision,NaT,Manager-000006,,0,,,,,
1567.0,time out,NaT,,,0,,,,,
1567.0,EVENT 13 END,NaT,,,0,,,,,
1567.0,notify reject,NaT,Manager-000005,,0,,,,,
1567.0,Make decision,NaT,Manager-000002,,0,,,,,
1567.0,notify reject,NaT,Manager-000005,,0,,,,,
1567.0,notify reject,NaT,Manager-000001,,1,notify reject,Random delete (for augmentation only),,,
1567.0,Check for completeness,NaT,Clerk-000003,,1,Make decision,Random swap,,,
1567.0,Make decision,NaT,Manager-000004,,1,Check for completeness,Random swap,,,
1567.0,Request info,NaT,Manager-000001,,1,notify reject,Random swap,,,
1567.0,notify reject,NaT,Manager-000001,,1,Request info,Random swap,,,
1569.0,Make decision,2025-05-31 01:14:24,Manager-000001,,0,,,,,
1569.0,Notify accept,2025-05-31 06:02:18,Manager-000002,,0,,,,,
1569.0,Notify accept,2025-05-31 06:02:18,Manager-000002,,1,Deliver card,Random swap,,,
1569.0,Deliver card,2025-05-31 08:43:18,Manager-000003,,0,,,,,
1569.0,Deliver card,2025-05-31 08:43:18,Manager-000003,,1,Notify accept,Random swap,,,
1569.0,EVENT 13 END,2025-05-31 08:51:18,,,0,,,,,
1569.0,Check for completeness,NaT,Clerk-000004,,0,,,,,
1569.0,New online application received,NaT,,,0,,,,,
1569.0,Perform checks,NaT,Clerk-000006,,0,,,,,
1570.0,Perform checks,2025-05-31 04:34:00,Clerk-000004,,0,,,,,
1570.0,Make decision,2025-05-31 10:12:00,Manager-000003,,0,,,,,
1570.0,Notify accept,2025-05-31 18:43:48,Manager-000005,,0,,,,,
1570.0,Deliver card,NaT,Manager-000001,,0,,,,,
1570.0,EVENT 13 END,NaT,,,0,,,,,
1570.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
1570.0,New online application received,NaT,,,0,,,,,
1570.0,Deliver card,NaT,Manager-000001,,1,EVENT 13 END,Random swap,,,
1570.0,EVENT 13 END,NaT,,,1,Deliver card,Random swap,,,
1572.0,Perform checks,2025-05-31 07:36:00,Clerk-000006,,0,,,,,
1572.0,Make decision,2025-05-31 08:54:42,Manager-000004,,0,,,,,
1572.0,notify reject,2025-05-31 09:21:12,Manager-000001,,0,,,,,
1572.0,time out,NaT,,,0,,,,,
1572.0,EVENT 13 END,NaT,,,0,,,,,
1572.0,Check for completeness,NaT,Clerk-000002,,0,,,,,
1572.0,New online application received,NaT,,,0,,,,,
1572.0,time out,NaT,,,1,time out,Random delete (for augmentation only),,,
1580.0,Check for completeness,2025-05-31 05:13:00,Clerk-000001,,0,,,,,
1580.0,New online application received,2025-05-31 05:13:00,,,0,,,,,
1580.0,Request info,2025-05-31 15:26:30,Manager-000004,,0,,,,,
1580.0,Request info,2025-05-31 15:26:30,Manager-000004,,1,info received,Random swap,,,
1580.0,info received,NaT,,,0,,,,,
1580.0,Check for completeness,NaT,Clerk-000005,,0,,,,,
1580.0,Perform checks,NaT,Clerk-000002,,0,,,,,
1580.0,Make decision,NaT,Manager-000001,,0,,,,,
1580.0,notify reject,NaT,Manager-000006,,0,,,,,
1580.0,time out,NaT,,,0,,,,,
1580.0,EVENT 13 END,NaT,,,0,,,,,
1580.0,info received,NaT,,,1,Request info,Random swap,,,
1580.0,Perform checks,NaT,Clerk-000002,,1,Make decision,Random swap,,,
1580.0,Make decision,NaT,Manager-000001,,1,Perform checks,Random swap,,,
1583.0,Make decision,2025-05-31 03:12:24,Manager-000002,,0,,,,,
1583.0,notify reject,2025-05-31 13:25:36,Manager-000003,,0,,,,,
1583.0,time out,2025-05-31 21:38:36,,,0,,,,,
1583.0,EVENT 13 END,2025-05-31 21:48:36,,,0,,,,,
1583.0,Check for completeness,NaT,Clerk-000002,,0,,,,,
1583.0,New online application received,NaT,,,0,,,,,
1583.0,Perform checks,NaT,Clerk-000004,,0,,,,,
1593.0,Check for completeness,2025-05-31 09:58:18,Clerk-000005,,0,,,,,
1593.0,New online application received,2025-05-31 09:58:18,,,0,,,,,
1593.0,Perform checks,2025-05-31 14:38:30,Clerk-000002,,0,,,,,
1593.0,Perform checks,2025-05-31 14:38:30,Clerk-000002,,1,Perform checks,Random delete (for augmentation only),,,
1593.0,Make decision,2025-05-31 20:49:06,Manager-000004,,0,,,,,
1593.0,Notify accept,NaT,Manager-000001,,0,,,,,
1593.0,Deliver card,NaT,Manager-000006,,0,,,,,
1593.0,EVENT 13 END,NaT,,,0,,,,,
1599.0,time out,2025-05-31 02:32:24,,,0,,,,,
1599.0,EVENT 13 END,2025-05-31 02:42:24,,,0,,,,,
1599.0,Perform checks,2025-05-31 13:46:54,Clerk-000006,,0,,,,,
1599.0,Make decision,NaT,Manager-000001,,0,,,,,
1599.0,notify reject,NaT,Manager-000006,,0,,,,,
1599.0,Check for completeness,NaT,Clerk-000003,,0,,,,,
1599.0,New online application received,NaT,,,0,,,,,
1603.0,Perform checks,2025-05-31 02:25:12,Clerk-000002,,0,,,,,
1603.0,Make decision,NaT,Manager-000004,,0,,,,,
1603.0,notify reject,NaT,Manager-000006,,0,,,,,
1603.0,time out,NaT,,,0,,,,,
1603.0,EVENT 13 END,NaT,,,0,,,,,
1603.0,Check for completeness,NaT,Clerk-000006,,0,,,,,
1603.0,New online application received,NaT,,,0,,,,,
1603.0,Make decision,NaT,Manager-000004,,1,Make decision,Random delete (for augmentation only),,,
1603.0,Check for completeness,NaT,Clerk-000006,,1,Check for completeness,Random delete (for augmentation only),,,
1606.0,notify reject,2025-05-31 01:53:12,Manager-000004,,0,,,,,
1606.0,time out,2025-05-31 08:25:06,,,0,,,,,
1606.0,time out,2025-05-31 08:25:06,,,1,EVENT 13 END,Random swap,,,
1606.0,EVENT 13 END,2025-05-31 08:35:06,,,0,,,,,
1606.0,EVENT 13 END,2025-05-31 08:35:06,,,1,time out,Random swap,,,
1606.0,Check for completeness,2025-05-31 17:51:24,Clerk-000003,,0,,,,,
1606.0,New online application received,2025-05-31 17:51:24,,,0,,,,,
1606.0,New online application received,2025-05-31 17:51:24,,,1,New online application received,Random delete (for augmentation only),,,
1606.0,Check for completeness,2025-05-31 17:51:24,Clerk-000003,,1,Check for completeness,Random delete (for augmentation only),,,
1606.0,Perform checks,2025-05-31 19:35:36,Clerk-000006,,0,,,,,
1606.0,Perform checks,NaT,Clerk-000004,,0,,,,,
1606.0,Make decision,NaT,Manager-000005,,0,,,,,
1606.0,notify reject,NaT,Manager-000004,,0,,,,,
1606.0,review request received,NaT,,,0,,,,,
1606.0,Check for completeness,NaT,Clerk-000002,,0,,,,,
1606.0,Make decision,NaT,Manager-000005,,0,,,,,
1611.0,Check for completeness,2025-05-31 11:26:00,Clerk-000004,,0,,,,,
1611.0,New online application received,2025-05-31 11:26:00,,,0,,,,,
1611.0,Request info,2025-05-31 14:40:24,Manager-000003,,0,,,,,
1611.0,notify reject,2025-05-31 17:00:36,Manager-000005,,0,,,,,
1611.0,info received,2025-05-31 17:32:30,,,0,,,,,
1611.0,Check for completeness,2025-05-31 17:42:30,Clerk-000001,,0,,,,,
1611.0,Check for completeness,2025-05-31 17:42:30,Clerk-000001,,1,Perform checks,Random swap,,,
1611.0,Perform checks,2025-05-31 23:24:30,Clerk-000002,,0,,,,,
1611.0,Perform checks,2025-05-31 23:24:30,Clerk-000002,,1,Check for completeness,Random swap,,,
1611.0,Make decision,NaT,Manager-000002,,0,,,,,
1611.0,time out,NaT,,,0,,,,,
1611.0,EVENT 13 END,NaT,,,0,,,,,
1615.0,Check for completeness,2025-05-31 17:51:00,Clerk-000005,,0,,,,,
1615.0,New online application received,2025-05-31 17:51:00,,,0,,,,,
1615.0,Perform checks,2025-05-31 23:05:36,Clerk-000006,,0,,,,,
1615.0,Perform checks,2025-05-31 23:05:36,Clerk-000006,,1,Make decision,Random swap,,,
1615.0,Make decision,NaT,Manager-000002,,0,,,,,
1615.0,Notify accept,NaT,Manager-000006,,0,,,,,
1615.0,Deliver card,NaT,Manager-000003,,0,,,,,
1615.0,EVENT 13 END,NaT,,,0,,,,,
1615.0,Make decision,NaT,Manager-000002,,1,Perform checks,Random swap,,,
1621.0,Check for completeness,NaT,Clerk-000002,,0,,,,,
1621.0,New online application received,NaT,,,0,,,,,
1621.0,Perform checks,NaT,Clerk-000005,,0,,,,,
1621.0,Make decision,NaT,Manager-000006,,0,,,,,
1621.0,notify reject,NaT,Manager-000002,,0,,,,,
1621.0,time out,NaT,,,0,,,,,
1621.0,EVENT 13 END,NaT,,,0,,,,,
1624.0,Notify accept,2025-05-31 11:51:30,Manager-000006,,0,,,,,
1624.0,Notify accept,2025-05-31 11:51:30,Manager-000006,,1,Notify accept,Random delete (for augmentation only),,,
1624.0,Deliver card,2025-05-31 15:00:12,Manager-000004,,0,,,,,
1624.0,EVENT 13 END,2025-05-31 15:42:30,,,0,,,,,
1624.0,Check for completeness,NaT,Clerk-000001,,0,,,,,
1624.0,New online application received,NaT,,,0,,,,,
1624.0,Perform checks,NaT,Clerk-000002,,0,,,,,
